ts,equity,mode,bias,active_bias,reason,price,adx15,ema9,ema21,rsi5,atr5,vol,vol_sma,don_hi,don_lo,vol_regime,atr_pct15,atrp_low,atrp_high
2026-03-06T06:02:07.839307+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2066.01,25.903783,2064.691193,2068.791681,42.777936,3.946366,138346.0,213112.52415,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:02:11.795974+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:02:15.678482+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:04:59.203430+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:03.077733+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:28.299225+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:32.164425+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:35.723487+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:41.307125+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:45.186676+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:48.892759+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:52.520858+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:05:56.561876+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:00.460124+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:03.999560+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:07.547897+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:11.251038+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:15.110145+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:18.962029+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:22.735129+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:26.437863+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:30.298393+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2068.22,25.903783,2065.396954,2068.739746,46.678683,3.969288,261446.384,216938.50785,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:33.842809+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:37.554651+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:41.417923+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:44.800750+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:48.504481+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:52.266309+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:55.969970+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:06:59.694006+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:03.596686+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:06.993953+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:10.541575+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:14.244554+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:18.108552+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:21.816418+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:25.524654+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:29.312945+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:33.078353+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:36.933421+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:40.794456+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:44.505094+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:48.378470+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:52.086157+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:55.794021+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:07:59.504697+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:03.363334+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:07.052861+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:12.491667+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:16.033912+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:19.731557+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:23.767339+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:27.467212+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:31.172866+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:34.875272+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
2026-03-06T06:08:38.728816+00:00,5000.0,TREND,SHORT,SHORT,no_setup_short,2067.73,25.903783,2065.863564,2068.64796,45.958921,3.842233,99455.188,211750.6503,,,NORMAL,0.003878,0.003697,0.007886
